mode,stance_var,mean_swing,flip_rate_unjust,flip_count_unjust,domains_mean
ABLATE,0.0138447619047619,0.1157777777777777,0.0074074074074074,1.0,2.103703703703704
OFF,0.0270626455026455,0.1451851851851852,0.0296296296296296,4.0,0.3851851851851852
ON,0.0134349206349206,0.1169629629629629,0.0,0.0,2.2462962962962965
